9,7,206.30,188.87,40.41,62.27,0.75,-1,-1,-1
10,1,233.86,195.61,33.21,58.90,0.89,-1,-1,-1
10,2,258.33,132.82,21.58,46.91,0.92,-1,-1,-1
10,3,317.86,184.33,15.95,53.90,0.93,-1,-1,-1
10,4,209.57,136.92,28.41,49.69,0.92,-1,-1,-1
10,5,230.83,130.39,21.26,50.84,0.80,-1,-1,-1
10,6,213.26,167.66,18.48,53.00,0.85,-1,-1,-1
10,9,371.57,198.44,13.50,63.18,0.62,-1,-1,-1
10,7,208.55,198.64,34.70,55.16,0.80,-1,-1,-1
11,1,231.02,196.39,33.01,58.51,0.90,-1,-1,-1
11,2,258.55,133.10,21.57,46.77,0.92,-1,-1,-1
11,3,317.45,184.53,16.18,53.98,0.93,-1,-1,-1
11,4,209.32,136.77,28.64,49.66,0.92,-1,-1,-1
11,5,232.74,131.25,19.87,48.96,0.80,-1,-1,-1
11,6,214.33,166.86,18.18,50.91,0.83,-1,-1,-1
11,9,371.34,198.36,13.32,61.59,0.76,-1,-1,-1
11,7,207.67,201.41,33.63,55.05,0.81,-1,-1,-1
11,8,219.09,188.30,19.76,48.59,0.81,-1,-1,-1
12,1,229.30,197.85,32.27,57.31,0.92,-1,-1,-1
12,2,258.76,132.99,21.57,46.75,0.91,-1,-1,-1
12,3,317.20,184.82,16.33,53.80,0.93,-1,-1,-1
12,4,208.74,136.27,29.02,50.06,0.94,-1,-1,-1
12,5,233.88,127.79,20.36,51.72,0.80,-1,-1,-1
12,6,214.87,166.89,18.21,49.55,0.87,-1,-1,-1
12,9,371.22,198.31,13.01,59.51,0.76,-1,-1,-1
12,7,207.29,203.64,33.27,56.32,0.80,-1,-1,-1
12,8,217.14,188.42,19.66,45.66,0.88,-1,-1,-1
13,1,228.43,199.33,31.47,55.86,0.91,-1,-1,-1
13,2,259.03,133.31,21.37,46.33,0.91,-1,-1,-1
13,3,316.99,184.95,16.48,53.72,0.93,-1,-1,-1
13,4,208.07,134.81,29.86,51.48,0.94,-1,-1,-1
13,5,235.67,127.50,19.91,51.58,0.78,-1,-1,-1
13,6,215.78,167.46,18.51,49.36,0.87,-1,-1,-1
13,9,370.57,198.70,13.01,58.69,0.77,-1,-1,-1
13,7,201.37,193.32,39.82,70.00,0.66,-1,-1,-1
14,1,227.23,201.30,30.81,54.23,0.93,-1,-1,-1
14,2,259.09,133.37,21.31,46.31,0.90,-1,-1,-1
14,3,316.71,184.89,16.64,53.85,0.92,-1,-1,-1
14,4,207.55,132.69,30.10,52.57,0.91,-1,-1,-1
14,5,237.82,127.70,18.88,49.04,0.82,-1,-1,-1
14,6,216.83,168.61,18.49,48.06,0.83,-1,-1,-1
14,9,369.96,199.35,13.40,59.87,0.76,-1,-1,-1
14,7,202.68,204.96,34.24,60.68,0.87,-1,-1,-1
14,8,212.18,189.38,21.50,48.74,0.52,-1,-1,-1
15,1,226.76,202.01,30.71,53.62,0.93,-1,-1,-1
15,2,259.12,133.41,21.29,46.38,0.90,-1,-1,-1
